Samples,Noisy_VMC,UNET,BM4D,FFT,Local_Reg
35840,0.3401325759192285,0.0005889998702882781,0.0031809432132086,0.00026183462839944594,0.16891399871041474
71680,0.20401720680106072,0.00036888261619723973,0.0010583337809858635,0.0001310526189158082,0.09337464465987612
143360,0.1095233351473539,0.0002637221751843497,0.0003974796922073434,0.00012125287722642622,0.0482459241611046
286720,0.05397133158689736,0.0001771304007080245,0.000173671015549504,6.764051634781511e-05,0.0240485440306272
430080,0.03480287244242695,0.00013337943862818904,0.0001155118318223836,6.597822703152849e-05,0.015811948666064946
573440,0.025326512371010714,0.00011344686126919314,8.404550400937231e-05,5.574520562834176e-05,0.011679374247465405
860160,0.01622084514278069,8.87974226395603e-05,5.999770354601223e-05,3.8140901150379494e-05,0.007631135506300341
1146880,0.011929180296358277,7.830377248727734e-05,4.5733720494844055e-05,3.4773780716146625e-05,0.005670111631664271
1720320,0.007787764815457986,6.770732941373562e-05,3.359563386378858e-05,2.7962735354769045e-05,0.0037440664673035542
2293760,0.005801848281195462,6.282564891786627e-05,2.7862954435073982e-05,2.114666920324644e-05,0.0028014760406039727
3440640,0.0038248479884236573,5.826211223269778e-05,2.050203832005404e-05,1.6441264904733824e-05,0.001852341995613015
4587520,0.0028639948462093777,5.796833720120735e-05,1.8000761279975166e-05,1.4437999985138896e-05,0.0013904962970271784
5160960,0.0025338370115050514,5.736584427311529e-05,1.6427680183869014e-05,1.3237429298775604e-05,0.0012288389494936986
6881280,0.0019013732494608747,5.791446180268696e-05,1.4223414107888311e-05,1.172467354625807e-05,0.0009241223411198346
9175040,0.0014269251824508369,5.762671461755011e-05,1.2594159735199797e-05,1.063554596272227e-05,0.0006960011914715278
10321920,0.001264627313837627,5.72785474474574e-05,1.1485300377455655e-05,8.957968270136692e-06,0.000615983388909357
13762560,0.0009476444807496379,5.905845929453868e-05,1.0001028196590072e-05,9.227682010534073e-06,0.0004625568194829159
18350080,0.0007137849071779807,5.854431191425617e-05,8.85808252577961e-06,8.749283577344561e-06,0.00034924935437561597
20643840,0.0006314110889086065,5.837862929525015e-05,8.140570632591826e-06,8.469305196903695e-06,0.0003087952299507769
27525120,0.00047565234283511156,5.969378745068995e-05,7.352586755080007e-06,8.124066465418429e-06,0.00023325107192647792
36700160,0.00035736342700410734,5.9231165759030975e-05,6.586404522333018e-06,7.755880996429549e-06,0.0001759842408859966
41287680,0.0003154655824396771,5.942787146264189e-05,6.040666510272619e-06,7.660830901482136e-06,0.00015539332740443587
55050240,0.00023889952751349777,6.0236801600863335e-05,5.610941167711055e-06,7.442362853711025e-06,0.00011832092649143967
82575360,0.00015735744205989182,6.033984344043249e-05,4.5622149669632946e-06,7.1928679814559815e-06,7.863435724433875e-05
110100480,0.00012068151622636896,6.097100836756176e-05,4.203752584950588e-06,7.0733958776299995e-06,6.0838638959105247e-05
165150720,7.833108523088866e-05,6.138953261272795e-05,3.3640239712671924e-06,6.982751598739292e-06,4.0287796494106044e-05
220200960,6.159243747911484e-05,6.172545696630577e-05,3.2141239690770473e-06,6.9358834724520625e-06,3.213067779789698e-05
330301440,3.8954069187130024e-05,6.200787425676563e-05,2.8276369198132342e-06,6.867739929512374e-06,2.111373348543558e-05
440401920,3.2026503163420706e-05,6.229421683465125e-05,2.815748489318042e-06,6.8243797487891595e-06,1.7780099024116376e-05
660602880,1.9283488685945942e-05,6.248222914771678e-05,2.6086047130888545e-06,6.8160987589306256e-06,1.15736099977017e-05
1321205760,9.445646146172105e-06,6.278697185984425e-05,2.5095595419340298e-06,6.784523069821894e-06,6.7930952671169025e-06
2642411520,4.491982218813685e-06,6.302774375547036e-05,2.4649369753952763e-06,6.765426438386712e-06,4.380238632077023e-06
5284823040,2.0379749667627424e-06,6.316016274299697e-05,2.4420694293646695e-06,6.75631486266873e-06,3.1880006791364183e-06
