Samples,Noisy_dmc,UNET,BM4D,FFT,Local_Reg
35864,0.3338453441848961,0.0027169778833823657,0.016826487070037883,0.0041837716593036405,0.17675978112221863
71704,0.20142867836926234,0.0023595214283863007,0.009396642843367112,0.002522696462534017,0.1002550920165278
143001,0.10981171730113357,0.0018642516187705224,0.004942586569623585,0.002857577056201871,0.052836891351381275
284843,0.05509510167883993,0.0012979140699745056,0.0026275616468346584,0.0010304521837410931,0.02675444647816381
429818,0.035276175964594224,0.0009736553257385035,0.0017309252931680598,0.0006457456386416213,0.017473318818753074
572336,0.025864408955058038,0.0008002284626318707,0.0013656969538462728,0.0005158595946106192,0.013041653216985166
859133,0.01661726468725288,0.00058254003423144,0.0008934449986389604,0.0003206306932512534,0.008552509865590752
1151254,0.012120930675962092,0.00045461849760485126,0.0006750200368584837,0.00024558134790204786,0.006321767846863608
1708790,0.008049117127244182,0.0003540467408385151,0.00048067079542436254,0.000177842657723144,0.004243361554054103
2320354,0.005849300580519787,0.0002652505880792645,0.00034703816238758063,0.00012821067382561184,0.003099107530136783
3428279,0.003929123910742822,0.0001993857885348213,0.00023053834065301566,9.336318141859233e-05,0.0020883924103768025
4608672,0.0029175855350613623,0.00016926883047094007,0.00018550366353224627,8.775066413677035e-05,0.0015603222121230726
5172857,0.002589625070875822,0.0001561478975407212,0.00016358744036780136,0.00012389563519916928,0.0013825274581017676
6846700,0.0019607957268751586,0.0001378841183190088,0.0001284579021329714,5.856795786165792e-05,0.001051059852883885
9218775,0.001456597915065686,0.00011511209059725938,9.714246213786674e-05,6.362438047683076e-05,0.0007816117826945248
10345282,0.001288725850657953,0.00010156207276009854,8.121287769682773e-05,5.480466726989465e-05,0.0006889993288592017
13714812,0.0009780605204526653,0.00010048194060037251,6.74893945555891e-05,4.142415650727781e-05,0.0005266408710608153
18439597,0.0007254151956402093,8.923166600661299e-05,4.921957403043833e-05,3.347211096390599e-05,0.0003902776074826151
20666860,0.0006449422536757846,7.758350577363892e-05,4.289396055828286e-05,2.9810090173429654e-05,0.00034686860354804765
27510025,0.0004868474324607292,8.207093289836342e-05,3.51619429140261e-05,2.4482604175758736e-05,0.00026307609131096405
36755284,0.00036373924157527066,7.657025048266124e-05,2.6779596072844494e-05,1.9212046175237982e-05,0.00019682967762622283
41267944,0.0003239274465033227,7.012626463831923e-05,2.3837652644450794e-05,1.707660769904626e-05,0.0001752235171459726
54986698,0.0002451166150904487,7.543772860991408e-05,2.0165579807849137e-05,1.4709553607541126e-05,0.00013387527456415615
82469152,0.00016392087834894364,6.589139233241562e-05,1.4261499072685235e-05,1.0987612536012885e-05,8.993587293865952e-05
109934507,0.00012391287852285876,7.135952871653703e-05,1.1808202885210257e-05,9.21189798973907e-06,6.870884989516048e-05
164993029,8.320547767037292e-05,6.468292549030673e-05,8.389619841907855e-06,7.352809521056483e-06,4.678980808389763e-05
219926078,6.308448114340953e-05,6.74748583820786e-05,6.844653129968745e-06,6.279257518093986e-06,3.5955549929040596e-05
330152173,4.296160507073669e-05,6.529959795933958e-05,5.405414640255968e-06,5.301366314794924e-06,2.518533097672979e-05
440048473,3.29847142422437e-05,6.680326203403441e-05,4.732822371752777e-06,4.870370787927879e-06,1.985100315740247e-05
660635821,2.2741730044331826e-05,6.607726494428384e-05,3.940699910582622e-06,4.065884401999009e-06,1.4341966003729303e-05
1320956485,1.2695926941518139e-05,6.672595666141669e-05,3.2604120957280965e-06,3.5161234026034767e-06,8.95486115928963e-06
2642064198,7.598266406109436e-06,6.690669352330049e-05,2.877932332964842e-06,3.1768120704696024e-06,6.189090006873346e-06
5284090178,5.035688670063898e-06,6.694426476762291e-05,2.6908119766869293e-06,3.0187884987210717e-06,4.797883443408558e-06
