Samples,Noisy_VMC,UNET,BM4D,FFT,Local_Reg
35840,0.12165773988694459,0.0012544928909400273,0.020236071079698235,0.0015104785716929816,0.05968342878939177
71680,0.06830523246887996,0.000661451516281878,0.007655968174582683,0.0011368820890971948,0.03191343660806911
143360,0.03562914065696,0.00033555880340403315,0.0027099364002470994,0.000787924047840927,0.016275254371672116
286720,0.01751924007422616,0.0001682394329504265,0.0009366492317058316,0.0003698877693603912,0.00807562941560124
430080,0.01135463771829267,0.00011699014980249494,0.0005019154136494537,0.00017588966895290924,0.005293338218619834
573440,0.008362727183853457,8.653633915730086e-05,0.0003284439881537308,0.00025659852205496,0.003948661767021629
860160,0.005443379762471156,6.099308757827949e-05,0.000187232099888011,0.00016967832633114202,0.0026014092711780664
1146880,0.004024961113243482,4.7082477049161154e-05,0.00012825446192327148,0.00013177487225995968,0.0019451566110225405
1720320,0.0026508571700918824,3.398463384644729e-05,8.228408478171659e-05,0.00010441243316737124,0.0012908022473755928
2293760,0.00197572408750454,2.6994205045562458e-05,6.352583301903889e-05,7.864894014585884e-05,0.0009667272080054589
3440640,0.0013075992697285947,2.0564227345377575e-05,4.7201484817026515e-05,6.99615854150796e-05,0.0006459428701548005
4587520,0.0009793094883666237,1.7245602672067662e-05,4.086767986518733e-05,5.7607065508611955e-05,0.0004866647297268427
5160960,0.0008679014009966808,1.593967804557499e-05,3.835055416351695e-05,5.355542389726439e-05,0.00043179820078582997
6881280,0.0006509080661782744,1.3852252691803409e-05,3.5852274947496446e-05,5.118843285970915e-05,0.00032763392742709294
9175040,0.00048759009614828886,1.218145345388468e-05,3.3338746217800386e-05,4.606697581033725e-05,0.000248073538892072
10321920,0.0004327090182171057,1.1640112816747716e-05,3.162381810311678e-05,3.5731116924526295e-05,0.0002213204259305696
13762560,0.0003257475834759418,1.0482300895317348e-05,3.0794963913533095e-05,4.2187689117172425e-05,0.00016966729811307833
18350080,0.00024414146008909136,9.744322022014655e-06,3.001685870775238e-05,3.00429299692584e-05,0.00012959195207359263
20643840,0.00021651916371278587,9.491665445994458e-06,2.8920800563075136e-05,2.951434583541006e-05,0.00011632539390060977
27525120,0.0001627841909312729,8.837334186164907e-06,2.8494928669699834e-05,3.736364432682458e-05,9.030743160578905e-05
36700160,0.00012251460027482022,8.50460835662775e-06,2.83430032383683e-05,3.6103103567015e-05,7.054672189777405e-05
41287680,0.00010860777949770998,8.336302118145193e-06,2.7829705061279384e-05,3.618890277817883e-05,6.38440810923257e-05
55050240,8.173642212260073e-05,8.104238192251154e-06,2.7441298322563057e-05,3.582683406922236e-05,5.079354051844968e-05
82575360,5.4510550378613105e-05,7.827538095187408e-06,2.7034301876812155e-05,3.4600665821564753e-05,3.746187563885242e-05
110100480,4.140883047407751e-05,7.724633010197868e-06,2.6884077088486963e-05,3.4474743690199215e-05,3.109966082442972e-05
165150720,2.7464887177341197e-05,7.562260773979559e-06,2.673375467514152e-05,3.4154277590299914e-05,2.4256593469117158e-05
220200960,2.110025935632068e-05,7.53965439534515e-06,2.6712897731585933e-05,3.383210749678225e-05,2.1184478607802484e-05
330301440,1.3953390651714556e-05,7.4417052116320016e-06,2.664584731184544e-05,3.367422799194302e-05,1.767135955786161e-05
440401920,1.0949537618748573e-05,7.424362743977929e-06,2.6596350262141977e-05,3.347810261863896e-05,1.6225396130223406e-05
660602880,7.203945656744561e-06,7.382203829980343e-06,2.6679409044710626e-05,3.332684912496599e-05,1.4386330146906554e-05
1321205760,3.84573357125024e-06,7.357363951377471e-06,2.660105438227041e-05,3.319818399328541e-05,1.2749110871997e-05
2642411520,2.15620794707712e-06,7.345178190291389e-06,2.6552831694171363e-05,3.322203558650183e-05,1.1925782758357401e-05
5284823040,1.3132236012638405e-06,7.3321177358973375e-06,2.6512821081954238e-05,3.3242116331892725e-05,1.1517980550652588e-05
