Samples,Noisy_VMC,UNET,BM4D,FFT,Local_Reg,scunet_pre_raw,scunet_pre_trans
35840,0.12165773988694459,0.0012544928909400273,0.002070820253662346,0.0015104785716929816,0.05968342878939177,0.007347854568094798,0.006695534615373135
71680,0.06830523246887996,0.000661451516281878,0.000965455873217537,0.0011368820890971948,0.03191343660806911,0.0033821086763948277,0.012137418287234381
143360,0.03562914065696,0.00033555880340403315,0.0004483157083390185,0.000787924047840927,0.016275254371672116,0.0018562126767600446,0.008284676608762752
286720,0.01751924007422616,0.0001682394329504265,0.00023653677179619016,0.0003698877693603912,0.00807562941560124,0.0011696375365833388,0.004641463338026314
430080,0.01135463771829267,0.00011699014980249494,0.00015290446674466824,0.00017588966895290924,0.005293338218619834,0.0010008748205123546,0.0033502328214916185
573440,0.008362727183853457,8.653633915730086e-05,0.00011335171493839168,0.00025659852205496,0.003948661767021629,0.00089348080622057,0.0018193668645450887
860160,0.005443379762471156,6.099308757827949e-05,8.288108416204414e-05,0.00016967832633114202,0.0026014092711780664,0.000803790680286812,0.002002439960602357
1146880,0.004024961113243482,4.7082477049161154e-05,6.393866848441786e-05,0.00013177487225995968,0.0019451566110225405,0.0007604396641276112,0.00110466715171063
1720320,0.0026508571700918824,3.398463384644729e-05,4.704154975719095e-05,0.00010441243316737124,0.0012908022473755928,0.0006946686575338174,0.0006383185365122017
2293760,0.00197572408750454,2.6994205045562458e-05,3.647683037565771e-05,7.864894014585884e-05,0.0009667272080054589,0.0006742639850570029,0.0005711875683452162
3440640,0.0013075992697285947,2.0564227345377575e-05,2.749250363861446e-05,6.99615854150796e-05,0.0006459428701548005,0.0006502632507341297,0.0005186190850680856
4587520,0.0009793094883666237,1.7245602672067662e-05,2.2260905826330895e-05,5.7607065508611955e-05,0.0004866647297268427,0.0006404640933403311,0.0003100121960197698
5160960,0.0008679014009966808,1.593967804557499e-05,1.999073501152668e-05,5.355542389726439e-05,0.00043179820078582997,0.000621239788270245,0.00028338097151451685
6881280,0.0006509080661782744,1.3852252691803409e-05,1.6183193044741028e-05,5.118843285970915e-05,0.00032763392742709294,0.0006075243499484352,0.00022716949499597438
9175040,0.00048759009614828886,1.218145345388468e-05,1.3239073490413533e-05,4.606697581033725e-05,0.000248073538892072,0.0006260844904542872,0.00015400079193204596
10321920,0.0004327090182171057,1.1640112816747716e-05,1.1896109902639814e-05,3.5731116924526295e-05,0.0002213204259305696,0.0006196625753424807,0.00012262511122386937
13762560,0.0003257475834759418,1.0482300895317348e-05,9.953826574399403e-06,4.2187689117172425e-05,0.00016966729811307833,0.0006019446495913195,9.52232214345888e-05
18350080,0.00024414146008909136,9.744322022014655e-06,8.084213322925097e-06,3.00429299692584e-05,0.00012959195207359263,0.0006081715810136022,5.983858427185671e-05
20643840,0.00021651916371278587,9.491665445994458e-06,7.35385634392279e-06,2.951434583541006e-05,0.00011632539390060977,0.0006138539952941349,4.764038641437865e-05
27525120,0.0001627841909312729,8.837334186164907e-06,6.277091572561894e-06,3.736364432682458e-05,9.030743160578905e-05,0.000596193325515003,3.563921701394994e-05
36700160,0.00012251460027482022,8.50460835662775e-06,5.183911732031645e-06,3.6103103567015e-05,7.054672189777405e-05,0.0006015840307319769,2.4030608288057533e-05
41287680,0.00010860777949770998,8.336302118145193e-06,4.759407591983475e-06,3.618890277817883e-05,6.38440810923257e-05,0.0006058292977531687,1.2002012573388905e-05
55050240,8.173642212260073e-05,8.104238192251154e-06,4.041044237901141e-06,3.582683406922236e-05,5.079354051844968e-05,0.0006011824713900174,1.0878170200321677e-05
82575360,5.4510550378613105e-05,7.827538095187408e-06,3.153176745079868e-06,3.4600665821564753e-05,3.746187563885242e-05,0.0005936668066700574,4.207784497171162e-06
110100480,4.140883047407751e-05,7.724633010197868e-06,2.623625864161504e-06,3.4474743690199215e-05,3.109966082442972e-05,0.0005970689998630417,2.7952698779465094e-06
165150720,2.7464887177341197e-05,7.562260773979559e-06,1.8063800622321608e-06,3.4154277590299914e-05,2.4256593469117158e-05,0.0005907692313048981,1.9387957902646005e-06
220200960,2.110025935632068e-05,7.53965439534515e-06,1.517018844887595e-06,3.383210749678225e-05,2.1184478607802484e-05,0.0005926303973407861,1.673937209341096e-06
330301440,1.3953390651714556e-05,7.4417052116320016e-06,1.2028657406083547e-06,3.367422799194302e-05,1.767135955786161e-05,0.0005866235600914899,1.428120669833335e-06
440401920,1.0949537618748573e-05,7.424362743977929e-06,1.1117674572427976e-06,3.347810261863896e-05,1.6225396130223406e-05,0.0005877832592971888,1.3253440842744074e-06
660602880,7.203945656744561e-06,7.382203829980343e-06,9.830243825835332e-07,3.332684912496599e-05,1.4386330146906554e-05,0.0005864455645148759,1.202885292661267e-06
1321205760,3.84573357125024e-06,7.357363951377471e-06,9.006747376759387e-07,3.319818399328541e-05,1.2749110871997e-05,0.0005865220269388598,1.084283776005441e-06
2642411520,2.15620794707712e-06,7.345178190291389e-06,8.671992607276413e-07,3.322203558650183e-05,1.1925782758357401e-05,0.0005863248287473679,1.0223110909986467e-06
5284823040,1.3132236012638405e-06,7.3321177358973375e-06,8.523847036524915e-07,3.3242116331892725e-05,1.1517980550652588e-05,0.0005858321993317355,9.966119454991723e-07
,,,,,,,
